Commentary	Ref	Literature(PubmedID)	value
x 	321	19911836	19000.0
x 	321	20467831	20000.0
x 	321	0	21500.0
x 	321	0	22500.0
x 	321	10830514	23000.0
x 	321	15057452	23475.0
x 	321	100536469	24000.0
x 	321	0	44000.0
x 	321	9678255	44700.0
x 	321	9678255	45000.0
enzyme component II from strain W1, gel filtration	321	0	48500.0
enzyme component II from strain W1, gel filtration	321	0	48500.0
1 	321	0	49500.0
1 	321	0	50000.0
enzyme component II from strain W2, gel filtration	321	0	51000.0
enzyme component II from strain W2, gel filtration	321	0	51000.0
1 	321	0	56000.0
x 	321	10689076	99000.0
x 	322	19911836	19000.0
x 	322	20467831	20000.0
x 	322	0	21500.0
x 	322	0	22500.0
x 	322	10830514	23000.0
x 	322	15057452	23475.0
x 	322	100536469	24000.0
x 	322	0	44000.0
x 	322	9678255	44700.0
x 	322	9678255	45000.0
enzyme component II from strain W1, gel filtration	322	0	48500.0
enzyme component II from strain W1, gel filtration	322	0	48500.0
1 	322	0	49500.0
1 	322	0	50000.0
enzyme component II from strain W2, gel filtration	322	0	51000.0
enzyme component II from strain W2, gel filtration	322	0	51000.0
1 	322	0	56000.0
x 	322	10689076	99000.0
x 	323	19911836	19000.0
x 	323	20467831	20000.0
x 	323	0	21500.0
x 	323	0	22500.0
x 	323	10830514	23000.0
x 	323	15057452	23475.0
x 	323	100536469	24000.0
x 	323	0	44000.0
x 	323	9678255	44700.0
x 	323	9678255	45000.0
enzyme component II from strain W1, gel filtration	323	0	48500.0
enzyme component II from strain W1, gel filtration	323	0	48500.0
1 	323	0	49500.0
1 	323	0	50000.0
enzyme component II from strain W2, gel filtration	323	0	51000.0
enzyme component II from strain W2, gel filtration	323	0	51000.0
1 	323	0	56000.0
x 	323	10689076	99000.0
x 	324	19911836	19000.0
x 	324	20467831	20000.0
x 	324	0	21500.0
x 	324	0	22500.0
x 	324	10830514	23000.0
x 	324	15057452	23475.0
x 	324	100536469	24000.0
x 	324	0	44000.0
x 	324	9678255	44700.0
x 	324	9678255	45000.0
enzyme component II from strain W1, gel filtration	324	0	48500.0
enzyme component II from strain W1, gel filtration	324	0	48500.0
1 	324	0	49500.0
1 	324	0	50000.0
enzyme component II from strain W2, gel filtration	324	0	51000.0
enzyme component II from strain W2, gel filtration	324	0	51000.0
1 	324	0	56000.0
x 	324	10689076	99000.0
x 	325	19911836	19000.0
x 	325	20467831	20000.0
x 	325	0	21500.0
x 	325	0	22500.0
x 	325	10830514	23000.0
x 	325	15057452	23475.0
x 	325	100536469	24000.0
x 	325	0	44000.0
x 	325	9678255	44700.0
x 	325	9678255	45000.0
enzyme component II from strain W1, gel filtration	325	0	48500.0
enzyme component II from strain W1, gel filtration	325	0	48500.0
1 	325	0	49500.0
1 	325	0	50000.0
enzyme component II from strain W2, gel filtration	325	0	51000.0
enzyme component II from strain W2, gel filtration	325	0	51000.0
1 	325	0	56000.0
x 	325	10689076	99000.0
x 	326	19911836	19000.0
x 	326	20467831	20000.0
x 	326	0	21500.0
x 	326	0	22500.0
x 	326	10830514	23000.0
x 	326	15057452	23475.0
x 	326	100536469	24000.0
x 	326	0	44000.0
x 	326	9678255	44700.0
x 	326	9678255	45000.0
enzyme component II from strain W1, gel filtration	326	0	48500.0
enzyme component II from strain W1, gel filtration	326	0	48500.0
1 	326	0	49500.0
1 	326	0	50000.0
enzyme component II from strain W2, gel filtration	326	0	51000.0
enzyme component II from strain W2, gel filtration	326	0	51000.0
1 	326	0	56000.0
x 	326	10689076	99000.0
x 	327	19911836	19000.0
x 	327	20467831	20000.0
x 	327	0	21500.0
x 	327	0	22500.0
